gender,country,facebook_game,age,browser,total_playing_hours,total_money_spent
Male,France,Zynga Poker,26,Internet Explorer,52,5432.15
Male,France,Township,18,Opera,42,3457.09
Female,United States,Zynga Poker,29,Internet Explorer,70,2987.2
Female,Canada,Candy Crush Saga,26,Chrome,84,4630.44
Female,France,Township,22,Safari,93,4988.92
Female,France,Township,27,Opera,21,323.97
Female,France,Candy Crush Saga,26,Opera,59,2811.62
Male,United States,Township,21,Opera,23,7124.13
Male,United States,Candy Crush Saga,22,Opera,81,5425.4
Female,France,Zynga Poker,27,Chrome,96,5202.38
Male,France,Candy Crush Saga,22,Internet Explorer,44,6582.37
Male,France,Candy Crush Saga,30,Chrome,10,3918.89
Female,United States,Candy Crush Saga,23,Safari,18,6481.19
Female,United States,Zynga Poker,27,Internet Explorer,68,1081.41
Male,Canada,Township,28,Internet Explorer,92,7868.34
Male,Israel,Zynga Poker,27,Internet Explorer,70,8028.83
Male,France,Candy Crush Saga,27,Safari,97,6559.4
Female,Canada,Candy Crush Saga,27,Safari,56,6811.57
Male,United States,Candy Crush Saga,23,Safari,43,5048.57
Male,France,Township,23,Safari,41,7105.02
Female,Canada,Candy Crush Saga,30,Chrome,75,6890.04
Male,Canada,Township,27,Chrome,86,8671.17
Male,Canada,Candy Crush Saga,23,Safari,77,9677.78
Female,United States,Zynga Poker,29,Safari,94,6091.9
Female,France,Zynga Poker,29,Internet Explorer,62,8345.54
Female,France,Candy Crush Saga,26,Opera,99,5974.35
Male,France,Candy Crush Saga,23,Safari,72,3818.58
Male,United States,Candy Crush Saga,29,Safari,92,9405.56
Female,United States,Candy Crush Saga,24,Safari,44,3315.39
Female,Canada,Zynga Poker,30,Internet Explorer,61,3334.78
Male,United States,Zynga Poker,22,Safari,23,7162.33
Male,France,Township,23,Chrome,54,2187.95
Male,United States,Candy Crush Saga,19,Opera,12,4945.74
Male,France,Township,28,Chrome,14,4014.83
Female,France,Zynga Poker,19,Internet Explorer,28,2548.07
Male,France,Candy Crush Saga,20,Internet Explorer,86,1342.69
Male,Canada,Zynga Poker,18,Chrome,55,8585.55
Male,Canada,Candy Crush Saga,20,Safari,61,1210.67
Female,Canada,Zynga Poker,30,Chrome,34,8842.52
Female,France,Candy Crush Saga,23,Chrome,30,3322.12
Male,United States,Zynga Poker,23,Chrome,5,4186.37
Female,France,Zynga Poker,22,Internet Explorer,49,6220.86
Female,Canada,Candy Crush Saga,22,Chrome,14,3114.87
Female,Canada,Candy Crush Saga,26,Chrome,44,9382.97
Female,France,Township,22,Chrome,29,9823.68
Male,United States,Township,25,Internet Explorer,29,2471.36
Female,United States,Township,18,Chrome,36,8007.66
Female,France,Township,26,Chrome,87,2687.33
Female,United States,Candy Crush Saga,19,Safari,86,5045.51
Female,France,Township,26,Internet Explorer,77,7646.79
Male,United States,Candy Crush Saga,22,Chrome,53,6513.7
Male,United States,Township,25,Opera,9,3725.09
Male,France,Zynga Poker,19,Internet Explorer,47,5148.45
Female,United States,Zynga Poker,23,Internet Explorer,29,6449.72
Female,Canada,Zynga Poker,26,Internet Explorer,4,9954.64
Female,Canada,Candy Crush Saga,20,Chrome,59,2017.53
Female,France,Candy Crush Saga,24,Internet Explorer,71,2511.37
Male,United States,Candy Crush Saga,27,Chrome,73,7276.42
Male,France,Candy Crush Saga,30,Opera,12,3599.8
Female,United States,Township,25,Internet Explorer,94,4708.84
Female,Canada,Township,22,Safari,13,999.1
Female,France,Township,27,Internet Explorer,39,6499.67
Female,France,Zynga Poker,18,Chrome,33,8875.24
Female,France,Candy Crush Saga,27,Opera,14,1398.62
Female,France,Candy Crush Saga,20,Opera,6,7927.78
Male,United States,Township,30,Chrome,68,7337.33
Male,Canada,Township,24,Chrome,46,575.96
Male,Canada,Zynga Poker,30,Internet Explorer,80,8113.73
Female,France,Zynga Poker,22,Internet Explorer,35,8304.53
Male,France,Township,24,Safari,49,6638.27
Female,France,Township,22,Safari,22,2102.8
Male,France,Candy Crush Saga,29,Chrome,67,1461.25
Male,Canada,Candy Crush Saga,21,Safari,86,2158.58
Male,France,Candy Crush Saga,29,Internet Explorer,63,5320.24
Male,France,Township,27,Opera,94,965.53
Male,France,Township,21,Safari,46,2272.81
Female,United States,Township,21,Opera,75,2730.28
Female,France,Candy Crush Saga,24,Chrome,6,4531.05
Female,United States,Township,24,Opera,17,9096.56
Female,Canada,Zynga Poker,29,Internet Explorer,36,7342.6
Male,France,Township,22,Internet Explorer,82,6311.31
Female,United States,Candy Crush Saga,25,Internet Explorer,47,9455.82
Male,France,Township,29,Opera,16,8279.85
Male,Canada,Township,21,Safari,50,3559.73
Female,United States,Zynga Poker,29,Internet Explorer,17,5382.64
Female,France,Township,26,Opera,91,6335.04
Male,France,Candy Crush Saga,29,Opera,92,1924.35
Female,United States,Township,30,Safari,63,5684.98
Male,Canada,Township,25,Internet Explorer,25,5849.44
Male,France,Township,27,Opera,2,1009.59
Male,France,Candy Crush Saga,29,Opera,76,4766.26
Female,United States,Zynga Poker,29,Internet Explorer,28,2652.45
Male,France,Candy Crush Saga,26,Internet Explorer,92,5270.27
Male,France,Zynga Poker,25,Internet Explorer,12,2712.59
Male,Canada,Zynga Poker,30,Internet Explorer,55,2617.95
Male,United States,Township,20,Opera,90,8476.67
Male,France,Township,28,Internet Explorer,68,558.57
Female,France,Zynga Poker,25,Internet Explorer,64,9471.14
Female,France,Township,19,Safari,54,5600.39
Female,France,Candy Crush Saga,30,Opera,70,7734.51
Male,United States,Zynga Poker,23,Internet Explorer,75,875.31
Female,United States,Candy Crush Saga,23,Safari,97,2893.05
Female,France,Zynga Poker,28,Opera,74,7819.99
Male,United States,Candy Crush Saga,20,Internet Explorer,35,2177.23
Female,France,Township,23,Safari,28,8254.25
Male,France,Zynga Poker,23,Chrome,45,9920.59
Female,United States,Zynga Poker,22,Internet Explorer,39,9670.72
Male,France,Zynga Poker,20,Internet Explorer,59,9885.17
Male,France,Zynga Poker,21,Internet Explorer,59,6516.1
Female,France,Candy Crush Saga,30,Opera,87,2573.09
Female,United States,Candy Crush Saga,22,Opera,86,4915.81
Male,Canada,Zynga Poker,22,Opera,30,525.29
Female,France,Zynga Poker,26,Safari,69,2808.29
Male,France,Township,24,Internet Explorer,56,4575.55
Male,United States,Zynga Poker,29,Safari,81,7969.19
Male,United States,Candy Crush Saga,18,Opera,29,8771.37
Male,United States,Candy Crush Saga,25,Safari,63,4472.2
Female,United States,Zynga Poker,30,Chrome,83,5793.66
Female,France,Township,21,Chrome,54,4345.04
Male,United States,Township,19,Safari,96,4895.91
Female,Israel,Township,19,Safari,24,2199.98
Female,France,Zynga Poker,26,Internet Explorer,29,3637.07
Male,United States,Township,29,Internet Explorer,20,7134.91
Male,Canada,Candy Crush Saga,28,Internet Explorer,85,7334.46
Male,Canada,Township,27,Internet Explorer,39,8664.4
Female,France,Zynga Poker,27,Chrome,49,5210.74
Male,United States,Candy Crush Saga,22,Opera,46,3606.15
Male,United States,Zynga Poker,20,Safari,77,5999.64
Male,Canada,Township,24,Chrome,77,3464.22
Female,France,Township,25,Chrome,85,3611.44
Male,Canada,Candy Crush Saga,28,Safari,8,9417.33
Female,Canada,Zynga Poker,20,Safari,33,4758.16
Male,France,Candy Crush Saga,20,Internet Explorer,39,9098.66
Male,France,Township,21,Safari,23,5903.74
Male,France,Township,21,Opera,21,5324.45
Male,United States,Township,23,Safari,75,6039.0
Male,Canada,Township,30,Safari,94,9745.15
Male,France,Township,29,Internet Explorer,2,786.42
Male,United States,Candy Crush Saga,26,Chrome,83,488.34
Male,Canada,Zynga Poker,29,Internet Explorer,95,1274.94
Male,France,Candy Crush Saga,26,Internet Explorer,27,7510.0
Male,United States,Zynga Poker,21,Safari,2,9360.76
Female,France,Township,25,Opera,98,1729.43
Male,Israel,Candy Crush Saga,26,Internet Explorer,42,7577.7
Male,France,Candy Crush Saga,22,Safari,42,6132.1
Female,France,Zynga Poker,27,Opera,24,3764.18
Male,France,Township,29,Chrome,81,2132.88
Female,Canada,Candy Crush Saga,26,Internet Explorer,14,9635.62
Male,United States,Candy Crush Saga,19,Internet Explorer,36,5175.7
Female,United States,Candy Crush Saga,26,Chrome,14,4792.99
Male,France,Candy Crush Saga,25,Internet Explorer,37,5806.54
Male,France,Township,28,Safari,33,4279.23
Female,France,Township,20,Chrome,1,5416.94
Female,France,Zynga Poker,18,Opera,44,4006.32
Male,United States,Township,22,Safari,97,8219.01
Female,Canada,Zynga Poker,26,Internet Explorer,45,8759.81
Male,United States,Zynga Poker,25,Internet Explorer,61,6230.84
Male,Canada,Township,25,Safari,40,8210.92
Female,France,Township,30,Chrome,80,9158.58
Female,Canada,Zynga Poker,23,Internet Explorer,33,9550.75
Female,France,Zynga Poker,19,Opera,94,9311.12
Female,France,Candy Crush Saga,21,Safari,34,4735.16
Male,France,Zynga Poker,20,Chrome,4,618.61
Male,United States,Township,19,Opera,81,3051.48
Female,United States,Zynga Poker,24,Chrome,33,8852.58
Female,France,Candy Crush Saga,20,Opera,49,9102.82
Female,United States,Township,27,Safari,41,102.56
Male,United States,Candy Crush Saga,23,Safari,64,2192.86
Male,France,Candy Crush Saga,26,Internet Explorer,66,5160.86
Male,United States,Zynga Poker,21,Safari,93,6958.41
Female,Canada,Candy Crush Saga,19,Internet Explorer,74,6199.72
Male,France,Zynga Poker,22,Safari,100,490.46
Male,Canada,Zynga Poker,24,Safari,32,7284.21
Male,France,Township,21,Internet Explorer,24,5662.44
Female,United States,Zynga Poker,18,Safari,97,6594.16
Female,France,Candy Crush Saga,18,Internet Explorer,16,1828.79
Female,United States,Candy Crush Saga,18,Chrome,77,7872.16
Female,France,Zynga Poker,21,Opera,39,4849.62
Female,United States,Candy Crush Saga,19,Chrome,78,6313.18
Male,United States,Candy Crush Saga,23,Safari,76,4730.77
Male,United States,Candy Crush Saga,22,Internet Explorer,29,8572.41
Male,Canada,Zynga Poker,25,Opera,16,8399.18
Female,United States,Candy Crush Saga,26,Chrome,79,192.22
Male,United States,Zynga Poker,23,Internet Explorer,15,7857.78
Female,France,Zynga Poker,19,Internet Explorer,20,184.69
Male,United States,Candy Crush Saga,29,Chrome,97,3030.93
Female,United States,Zynga Poker,19,Safari,77,2790.67
Male,Canada,Zynga Poker,25,Opera,48,2586.88
Female,France,Township,25,Chrome,81,6642.75
Male,Canada,Township,25,Chrome,8,9665.06
Male,France,Zynga Poker,30,Opera,6,7233.65
Female,France,Township,27,Safari,32,225.84
Male,France,Zynga Poker,26,Chrome,49,4005.65
Male,France,Township,26,Opera,62,6829.23
Male,Canada,Zynga Poker,26,Internet Explorer,38,4215.99
Female,United States,Candy Crush Saga,26,Chrome,14,8189.23
Female,France,Zynga Poker,21,Opera,60,9126.97
Female,Canada,Zynga Poker,24,Internet Explorer,19,2651.74
Female,Canada,Zynga Poker,24,Safari,24,8886.59
Male,France,Zynga Poker,23,Opera,31,5311.78
Male,United States,Candy Crush Saga,26,Chrome,50,3439.58
Female,United States,Township,29,Safari,8,2388.45
Female,United States,Zynga Poker,30,Internet Explorer,20,8624.74
Male,Canada,Candy Crush Saga,28,Opera,73,1736.85
Male,France,Zynga Poker,22,Safari,9,2268.67
Male,Canada,Township,28,Safari,54,2027.15
Female,France,Township,28,Opera,53,5821.01
Female,Canada,Township,25,Safari,6,1357.93
Male,France,Township,25,Opera,32,1013.62
Female,United States,Candy Crush Saga,27,Safari,51,7464.86
Male,United States,Township,18,Safari,23,4592.8
Male,France,Candy Crush Saga,19,Safari,81,3195.52
Female,United States,Candy Crush Saga,29,Opera,57,5531.49
Male,United States,Township,21,Opera,14,2405.21
Male,France,Candy Crush Saga,22,Safari,2,2145.73
Female,France,Candy Crush Saga,22,Chrome,9,4678.18
Male,France,Candy Crush Saga,27,Safari,1,3599.29
Female,Canada,Zynga Poker,23,Opera,45,889.2
Male,France,Zynga Poker,20,Internet Explorer,8,5732.17
Male,United States,Zynga Poker,26,Opera,51,8189.29
Male,Canada,Township,30,Opera,53,1163.64
Female,United States,Zynga Poker,21,Chrome,95,3901.39
Female,France,Township,21,Opera,31,9847.67
Male,United States,Township,26,Chrome,34,4614.4
Female,France,Candy Crush Saga,26,Chrome,73,6784.83
Female,Canada,Zynga Poker,27,Safari,99,7498.63
Male,Canada,Candy Crush Saga,21,Opera,83,6186.27
Female,United States,Candy Crush Saga,25,Internet Explorer,36,8269.89
Female,France,Township,22,Safari,60,5016.23
Male,Canada,Zynga Poker,25,Opera,93,5814.66
Male,France,Zynga Poker,22,Safari,97,2043.86
Female,United States,Candy Crush Saga,27,Safari,54,6482.26
Male,United States,Zynga Poker,27,Chrome,60,2600.12
Male,United States,Township,21,Opera,30,8181.04
Female,France,Zynga Poker,26,Internet Explorer,85,7283.99
Female,France,Zynga Poker,30,Safari,28,3585.74
Female,United States,Candy Crush Saga,19,Internet Explorer,10,8173.81
Female,United States,Township,28,Safari,47,3534.95
Male,France,Zynga Poker,28,Safari,46,6358.55
Male,United States,Zynga Poker,24,Safari,69,1284.32
Male,France,Zynga Poker,30,Internet Explorer,51,3481.17
Female,United States,Zynga Poker,20,Chrome,28,852.43
Female,France,Township,20,Chrome,66,4968.77
Male,France,Zynga Poker,21,Safari,9,2957.49
Female,France,Zynga Poker,28,Internet Explorer,64,9180.9
Male,France,Township,21,Chrome,89,2282.87
Male,United States,Candy Crush Saga,18,Safari,1,5177.15
Female,United States,Township,19,Opera,36,3957.69
Female,United States,Candy Crush Saga,25,Internet Explorer,3,1482.32
Male,United States,Zynga Poker,22,Safari,3,1911.87
Female,France,Candy Crush Saga,25,Opera,85,8983.18
Female,Canada,Zynga Poker,25,Internet Explorer,68,2654.47
Female,France,Township,28,Chrome,68,2389.5
Male,United States,Candy Crush Saga,20,Chrome,86,7444.74
Male,France,Township,20,Chrome,42,2898.79
Male,Canada,Zynga Poker,24,Safari,91,2886.39
Male,Canada,Township,19,Chrome,1,4219.01
Female,France,Candy Crush Saga,18,Chrome,99,7193.87
Female,France,Candy Crush Saga,19,Safari,64,8625.33
Female,Canada,Township,28,Opera,10,6863.34
Male,France,Candy Crush Saga,25,Safari,77,2789.08
Female,France,Candy Crush Saga,28,Internet Explorer,30,567.43
Female,France,Candy Crush Saga,21,Chrome,81,8059.71
Male,Canada,Candy Crush Saga,19,Safari,5,1297.22
Male,United States,Township,19,Opera,50,8597.15
Female,Israel,Zynga Poker,25,Safari,19,507.86
Female,Canada,Township,26,Safari,33,1202.38
Female,Canada,Candy Crush Saga,23,Opera,1,1451.47
Male,France,Zynga Poker,18,Safari,99,1594.96
Female,France,Candy Crush Saga,26,Chrome,28,8817.94
Female,France,Township,27,Internet Explorer,23,1719.8
Female,France,Candy Crush Saga,25,Chrome,64,6575.48
Male,United States,Township,19,Chrome,84,9109.85
Female,France,Township,29,Internet Explorer,77,6587.0
Female,France,Township,20,Chrome,88,9682.02
Male,Canada,Township,27,Safari,91,9521.15
Female,France,Zynga Poker,21,Opera,18,5124.55
Male,France,Candy Crush Saga,19,Internet Explorer,30,2204.14
Male,United States,Township,18,Opera,87,2198.01
Male,France,Zynga Poker,29,Chrome,20,5494.62
Male,United States,Township,18,Chrome,25,9686.74
Female,France,Township,29,Safari,94,1044.75
Male,United States,Township,24,Opera,36,5684.32
Male,France,Township,30,Safari,11,8057.32
Male,France,Township,19,Opera,10,9724.07
Male,France,Township,30,Opera,38,5954.01
Female,United States,Zynga Poker,25,Safari,64,7238.72
Female,United States,Candy Crush Saga,23,Internet Explorer,60,2909.74
Female,Canada,Candy Crush Saga,23,Safari,99,201.55
Male,France,Zynga Poker,30,Safari,81,8033.51
Female,France,Zynga Poker,26,Opera,21,8783.05
Female,United States,Zynga Poker,29,Internet Explorer,100,9347.05
Male,France,Candy Crush Saga,24,Opera,67,7837.79
Male,France,Zynga Poker,25,Chrome,34,3900.18
Male,United States,Township,28,Internet Explorer,48,9533.88
Male,United States,Township,30,Safari,59,3901.33
Male,France,Candy Crush Saga,22,Opera,93,4126.65
Male,France,Township,22,Chrome,74,5225.44
Male,United States,Candy Crush Saga,28,Opera,60,1693.73
Male,France,Candy Crush Saga,29,Opera,69,6766.5
Male,United States,Township,19,Internet Explorer,81,501.47
Female,Canada,Candy Crush Saga,21,Chrome,37,4104.28
Male,Canada,Candy Crush Saga,26,Internet Explorer,45,5442.37
Male,United States,Zynga Poker,30,Safari,31,760.02
Male,Canada,Candy Crush Saga,21,Opera,97,1922.58
Female,France,Zynga Poker,30,Internet Explorer,90,8379.99
Female,United States,Zynga Poker,19,Opera,77,241.63
Male,United States,Candy Crush Saga,18,Safari,88,2570.0
Male,United States,Township,21,Safari,99,7057.22
Female,United States,Township,30,Opera,17,2938.91
Female,France,Township,29,Chrome,31,1936.4
Male,France,Candy Crush Saga,28,Safari,84,5163.52
Male,United States,Zynga Poker,20,Opera,20,483.01
Female,United States,Zynga Poker,24,Internet Explorer,32,4378.68
Male,France,Township,23,Opera,56,9891.03
Female,France,Zynga Poker,29,Opera,76,5940.47
Male,United States,Zynga Poker,21,Opera,46,1800.92
Male,Canada,Township,21,Chrome,45,1980.96
Male,France,Zynga Poker,29,Opera,7,6105.75
Female,France,Township,27,Internet Explorer,39,9625.2
Male,France,Township,27,Internet Explorer,25,7287.26
Female,United States,Township,25,Opera,29,7934.16
Male,United States,Candy Crush Saga,27,Chrome,23,3105.33
Female,France,Zynga Poker,21,Opera,15,6204.82
Male,France,Township,25,Chrome,81,7644.2
Female,United States,Zynga Poker,23,Opera,8,1664.73
Female,United States,Township,20,Chrome,60,9164.79
Male,Israel,Zynga Poker,28,Chrome,91,7743.14
Female,France,Candy Crush Saga,23,Chrome,97,6591.97
Female,France,Township,22,Opera,31,9459.32
Male,France,Zynga Poker,25,Chrome,22,641.15
Female,United States,Zynga Poker,26,Opera,65,6553.55
Male,United States,Zynga Poker,30,Internet Explorer,80,3587.28
Male,France,Candy Crush Saga,26,Safari,81,7663.19
Male,Canada,Zynga Poker,29,Safari,68,4293.11
Male,France,Township,29,Safari,88,6488.4
Female,France,Zynga Poker,21,Opera,48,2206.61
Female,Israel,Zynga Poker,21,Safari,83,9790.81
Female,France,Township,26,Safari,57,7488.19
Male,France,Zynga Poker,25,Chrome,23,9896.88
Female,United States,Candy Crush Saga,24,Safari,34,114.59
Female,France,Candy Crush Saga,23,Opera,16,2253.02
Male,France,Township,21,Safari,78,8019.38
Male,United States,Township,18,Safari,73,1813.69
Male,France,Township,25,Safari,76,7782.83
Male,United States,Township,25,Opera,96,695.13
Female,United States,Zynga Poker,29,Internet Explorer,14,1289.61
Male,United States,Zynga Poker,25,Safari,90,8470.33
Male,United States,Township,22,Internet Explorer,53,5866.82
Female,France,Candy Crush Saga,26,Internet Explorer,4,8520.34
Female,United States,Township,28,Opera,6,4893.3
Female,France,Zynga Poker,25,Safari,21,7830.96
Male,France,Township,23,Chrome,26,5248.64
Female,United States,Zynga Poker,22,Internet Explorer,26,281.41
Male,United States,Zynga Poker,21,Chrome,49,9440.78
Male,France,Township,21,Internet Explorer,81,6288.84
Male,France,Township,26,Safari,74,1316.3
Female,Canada,Township,20,Safari,35,2249.4
Male,Canada,Candy Crush Saga,24,Opera,82,5047.09
Female,Canada,Zynga Poker,25,Chrome,98,1295.69
Male,France,Township,22,Chrome,11,8158.35
Female,France,Zynga Poker,24,Internet Explorer,93,5968.35
Female,United States,Zynga Poker,18,Opera,59,1452.94
Male,France,Candy Crush Saga,22,Opera,38,1828.69
Female,United States,Zynga Poker,30,Opera,13,5566.44
Male,France,Township,25,Chrome,89,6847.55
Male,France,Zynga Poker,26,Chrome,69,5960.05
Male,France,Candy Crush Saga,24,Opera,25,237.0
Male,United States,Township,28,Safari,36,9885.76
Male,Israel,Township,19,Internet Explorer,21,5795.52
Male,France,Zynga Poker,27,Chrome,37,3665.91
Male,France,Candy Crush Saga,18,Internet Explorer,93,2896.09
Male,France,Candy Crush Saga,27,Safari,76,9477.81
Female,United States,Candy Crush Saga,24,Internet Explorer,99,4888.51
Male,United States,Zynga Poker,30,Chrome,93,5772.99
Male,Canada,Township,20,Chrome,17,6848.03
Male,France,Zynga Poker,25,Internet Explorer,51,4927.63
Male,United States,Zynga Poker,29,Safari,65,490.79
Male,United States,Candy Crush Saga,26,Opera,42,3741.3
Male,Canada,Candy Crush Saga,27,Opera,29,3270.93
Male,Canada,Zynga Poker,22,Opera,37,5435.26
Male,France,Township,28,Safari,46,1748.25
Male,United States,Township,25,Internet Explorer,78,8802.23
Male,United States,Zynga Poker,23,Internet Explorer,55,2530.65
Female,France,Township,18,Internet Explorer,77,5213.29
Male,Canada,Zynga Poker,21,Chrome,6,7800.03
Female,United States,Township,20,Chrome,60,1200.53
Female,United States,Zynga Poker,23,Chrome,8,8262.04
Female,France,Zynga Poker,21,Opera,5,4798.98
Female,United States,Zynga Poker,18,Internet Explorer,51,9164.61
Female,United States,Township,29,Internet Explorer,23,9359.27
Male,France,Zynga Poker,20,Internet Explorer,86,4726.6
Male,France,Candy Crush Saga,28,Opera,66,1667.33
Female,Canada,Zynga Poker,21,Opera,56,1069.47
Male,Canada,Township,19,Internet Explorer,84,7666.45
Female,Canada,Candy Crush Saga,19,Internet Explorer,59,5429.32
Female,United States,Candy Crush Saga,21,Safari,42,9096.9
Male,France,Township,24,Safari,85,827.37
Male,United States,Zynga Poker,30,Safari,6,8211.15
Female,France,Zynga Poker,26,Internet Explorer,44,7454.44
Female,France,Zynga Poker,23,Chrome,57,9091.78
Female,United States,Township,25,Chrome,70,4519.54
Male,United States,Township,23,Opera,87,7524.72
Female,Israel,Zynga Poker,25,Opera,5,9173.63
Female,United States,Zynga Poker,29,Safari,32,8187.53
Male,Israel,Zynga Poker,30,Safari,82,7660.95
Female,France,Township,18,Opera,84,5378.63
Male,United States,Zynga Poker,28,Chrome,95,4752.72
Female,United States,Township,21,Internet Explorer,97,5979.41
Female,United States,Township,22,Internet Explorer,36,1475.83
Female,France,Zynga Poker,30,Safari,37,2431.18
Female,United States,Candy Crush Saga,24,Chrome,89,3801.66
Female,United States,Zynga Poker,21,Chrome,69,5754.29
Female,France,Zynga Poker,19,Chrome,77,541.5
Female,France,Zynga Poker,25,Internet Explorer,20,8232.01
Male,France,Zynga Poker,28,Safari,98,7271.78
Male,United States,Zynga Poker,26,Internet Explorer,18,2279.78
Male,France,Candy Crush Saga,25,Opera,62,4034.27
Male,France,Township,28,Opera,6,5200.59
Female,Canada,Township,22,Chrome,24,6046.81
Male,United States,Township,28,Internet Explorer,70,4450.68
Female,United States,Candy Crush Saga,29,Chrome,64,6957.56
Female,France,Township,20,Internet Explorer,23,335.01
Female,United States,Zynga Poker,26,Safari,5,2195.96
Female,United States,Township,22,Internet Explorer,4,382.56
Female,France,Candy Crush Saga,23,Internet Explorer,6,3732.69
Male,France,Zynga Poker,28,Internet Explorer,17,1099.99
Male,France,Candy Crush Saga,26,Safari,23,7858.5
Female,France,Zynga Poker,22,Chrome,21,6928.47
Male,France,Zynga Poker,18,Internet Explorer,57,9066.23
Female,United States,Township,29,Opera,42,7742.05
Male,United States,Candy Crush Saga,23,Internet Explorer,36,8484.41
Female,France,Zynga Poker,23,Safari,47,8661.43
Female,United States,Candy Crush Saga,30,Chrome,85,9596.38
Male,France,Township,23,Opera,7,5208.57
Female,Israel,Zynga Poker,19,Safari,97,5753.97
Male,United States,Township,29,Internet Explorer,82,1302.27
Female,France,Zynga Poker,23,Safari,40,7020.14
Male,France,Zynga Poker,28,Chrome,36,9837.59
Female,France,Zynga Poker,29,Safari,77,2717.15
Male,France,Township,30,Internet Explorer,11,9892.95
Female,France,Zynga Poker,21,Chrome,67,5015.54
Male,United States,Zynga Poker,18,Internet Explorer,34,9308.01
Male,United States,Township,25,Chrome,9,5251.93
Male,Canada,Zynga Poker,22,Opera,40,752.27
Female,United States,Zynga Poker,24,Safari,16,1345.09
Female,Canada,Township,18,Safari,46,8448.67
Female,United States,Township,22,Internet Explorer,100,6932.97
Male,Canada,Township,22,Chrome,75,2199.77
Female,France,Zynga Poker,20,Opera,73,3486.98
Male,France,Township,23,Safari,44,1999.79
Female,United States,Candy Crush Saga,29,Internet Explorer,96,5541.42
Female,United States,Zynga Poker,18,Internet Explorer,75,4810.99
Male,France,Zynga Poker,22,Opera,65,2682.29
Male,United States,Zynga Poker,27,Opera,76,2464.68
Male,Canada,Candy Crush Saga,25,Internet Explorer,54,7691.74
Male,France,Zynga Poker,29,Safari,88,3321.37
Female,France,Candy Crush Saga,25,Opera,69,1903.69
Male,United States,Zynga Poker,20,Opera,14,2712.7
Female,France,Township,26,Internet Explorer,94,4675.37
Female,Canada,Candy Crush Saga,23,Safari,91,5880.3
Male,United States,Township,18,Safari,100,2658.45
Male,France,Candy Crush Saga,30,Opera,74,7796.11
Female,Canada,Township,30,Internet Explorer,34,7811.58
Female,France,Candy Crush Saga,27,Chrome,91,8081.63
Male,France,Candy Crush Saga,23,Chrome,79,120.55
Female,United States,Candy Crush Saga,20,Chrome,42,629.09
Female,United States,Township,25,Opera,66,2669.25
Male,Canada,Zynga Poker,30,Opera,12,3462.61
Male,Canada,Township,27,Safari,8,6259.2
Female,Canada,Township,19,Safari,100,589.34
Female,France,Township,18,Internet Explorer,78,9746.05
Male,France,Township,22,Chrome,66,2137.23
Male,France,Township,26,Chrome,52,1451.81
Female,United States,Zynga Poker,22,Internet Explorer,42,2031.98
Female,United States,Township,22,Opera,47,1005.25
Male,United States,Zynga Poker,24,Internet Explorer,90,3268.52
Male,France,Zynga Poker,26,Chrome,59,390.25
Female,France,Zynga Poker,18,Safari,48,7780.82
Female,Canada,Township,21,Opera,79,7457.37
Female,France,Township,23,Chrome,20,7558.35
Male,United States,Candy Crush Saga,25,Chrome,72,5801.07
Male,United States,Zynga Poker,26,Safari,72,8301.86
Male,Canada,Zynga Poker,23,Internet Explorer,64,5505.84
Male,France,Township,19,Chrome,80,3566.71
Female,United States,Candy Crush Saga,26,Safari,70,6430.46
Female,Canada,Zynga Poker,25,Chrome,37,7497.31
Male,France,Zynga Poker,29,Internet Explorer,80,7218.68
Female,Canada,Township,27,Chrome,56,4520.54
Male,France,Zynga Poker,23,Opera,68,3733.87
Male,United States,Zynga Poker,18,Safari,64,2988.91
Female,Canada,Zynga Poker,25,Opera,39,8882.63
Male,France,Township,21,Chrome,3,2431.67
Male,France,Zynga Poker,29,Chrome,14,8440.17
Female,France,Township,29,Opera,72,2106.29
Male,United States,Zynga Poker,24,Safari,78,5259.75
Male,France,Township,24,Internet Explorer,80,3120.65
Female,France,Township,21,Chrome,64,5710.4
Female,United States,Candy Crush Saga,27,Internet Explorer,72,7475.1
Female,France,Candy Crush Saga,24,Opera,24,3119.41
Female,United States,Zynga Poker,20,Chrome,91,8334.42
Female,Canada,Zynga Poker,19,Internet Explorer,71,5265.82
Male,France,Zynga Poker,22,Chrome,49,6090.36
Female,United States,Candy Crush Saga,21,Safari,60,5948.66
Female,United States,Township,29,Chrome,46,2285.99
Male,Canada,Township,19,Opera,96,1293.44
Male,Canada,Township,25,Chrome,83,345.68
Male,United States,Township,28,Opera,6,9332.24
Male,France,Township,24,Chrome,15,3592.88
Female,Canada,Candy Crush Saga,21,Safari,42,476.22
Male,France,Candy Crush Saga,20,Safari,66,4051.1
Female,United States,Zynga Poker,22,Safari,14,6539.81
Female,France,Zynga Poker,25,Opera,17,8555.47
Male,France,Zynga Poker,29,Safari,87,3990.71
Female,United States,Candy Crush Saga,24,Internet Explorer,24,7961.35
Female,France,Township,19,Internet Explorer,98,2187.68
Male,United States,Zynga Poker,25,Internet Explorer,26,5526.09
Male,France,Candy Crush Saga,24,Chrome,26,3883.9
Female,Israel,Zynga Poker,24,Safari,42,1314.15
Male,United States,Zynga Poker,26,Internet Explorer,54,8883.94
Male,France,Township,20,Safari,74,7142.3
