Villain,First,Last,DoctorNumbers,DoctorActors,Episodes,LogStories,Stories,Duration,Motivation_Long,Motivation_Short,Motivation_Med,Titles
"Racnoss, Empress of the",2006,2006,10,David Tennant,1,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Runaway Bride
Angel Bob,2010,2010,11,Matt Smith,2,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Time of Angels/Flesh and Stone
Empty Child,2005,2005,9,Christopher Eccleston,2,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Empty Child/The Doctor Dances
Borad,1985,1985,6,Colin Baker,2,0.301029996,1,1,Kill humans,Extermination,Kill humans,Timelash
"Cranleigh, George",1982,1982,5,Peter Davison,2,0.301029996,1,1,Kill humans,Extermination,Kill humans,Black Orchid
Bennett (Koquillion),1965,1965,1,William Hartnell,2,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Rescue
Chief Caretaker,1987,1987,7,Sylvester McCoy,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,Paradise Towers
Kroagnon,1987,1987,7,Sylvester McCoy,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,Paradise Towers
Vervoids ,1986,1986,6,Colin Baker,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,Terror of the Vervoids
Gravis,1984,1984,5,Peter Davison,4,0.301029996,1,1,Kill Humans,Extermination,Kill humans,Frontios
Mawdryn,1983,1983,5,Peter Davison,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,Mawdryn Undead
Foamasi,1980,1980,4,Tom Baker,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Leisure Hive
"Capel, Taren",1977,1977,4,Tom Baker,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Robots of Death
Kraal ,1975,1975,4,Tom Baker,4,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Android Invasion
Azal,1971,1971,3,Jon Pertwee,5,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Dí_mons
Peking Homunculus (Mr Sin),1977,1977,4,Tom Baker,6,0.301029996,1,1,Kill humans,Extermination,Kill humans,Talons of Weng Chiang
Sin (Mr),1977,1977,4,Tom Baker,6,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Talons of Weng-Chiang
"Chase, Harrison",1976,1976,4,Tom Baker,6,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Seeds of Doom
Maggot/Giant Maggot,1973,1973,3,Jon Pertwee,6,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Green Death
Mavic Chen,1965,1966,1,William Hartnell,12,0.301029996,1,2,Kill humans,Extermination,Kill humans,The Daleks' Master Plan
Lok,2007,2007,10,David Tennant,13,0.301029996,1,1,Kill humans,Extermination,Kill humans,The Infinite Quest 
Handbots,2011,2011,11,Matt Smith,1,0.301029996,1,1,Kill with kindness,Extermination,Kill humans,The girl who waited
Weeping Angels,2007,2012,"10,11","David Tennant, Matt Smith",4,0.602059991,3,6,"Kill, trap in time",Extermination,Kill humans,"Blink, The Time of Angels/Flesh and Stone, The Angels Take Manhattan"
Cessair of Diplos,1978,1978,4,Tom Baker,4,0.301029996,1,1,Murder/theft,Extermination,Kill humans,The Stones of Blood
"Charles, Oliver",2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Kill politician,Extermination,Kill humans,Aliens of London
Sharrel,1979,1979,4,Tom Baker,4,0.301029996,1,1,Destroy,Extermination,Kill specific being,Destiny of the Daleks
"Jek, Sharaz",1984,1984,"5,6","Peter Davison, Colin Baker",4,0.301029996,1,1,Hates Morgus,Extermination,Kill specific being,The Caves of Androzani
"Kovarian, Madame",2011,2011,11,Matt Smith,5,0.698970004,4,1,Kill Doctor and companions,Extermination,Kill the Doctor,"Day of the Moon, The Curse of the Black Spot, The Rebel Flesh/The Almost People, A Good Man Goes to War, The Wedding of River Song"
"Manton, Colonel",2011,2011,11,Matt Smith,1,0.301029996,1,1,Kill Doctor and companions,Extermination,Kill the Doctor,A Good Man Goes to War
Robot Dr Who,1965,1965,1,William Hartnell,6,0.301029996,1,1,Kill Doctor and companions,Extermination,Kill the Doctor,The Chase
Terrible Zodin,1983,1985,"1,2,3,4,6","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker",3,0.477121255,2,3,attack the Doctor,Extermination,Kill the Doctor,"The Five Doctors, Attack of the Cybermen"
Gubbage Cone ,1965,1965,1,William Hartnell,6,0.301029996,1,1,Attack the Doctor,Extermination,Kill the Doctor,The Chase
Valeyard (the),1986,1986,6,Colin Baker,18,0.602059991,3,1,Kill the Doctor,Extermination,Kill the Doctor,"The Mysterious Planet/The Ultimate Foe, Trial of a Timelord"
"Justice Department, The",2011,2011,11,Matt Smith,1,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,Let's Kill Hitler
Terileptils,1982,1982,5,Peter Davison,4,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,The Visitation
Meglos,1980,1980,4,Tom Baker,4,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,Meglos
Mehendri Solon,1976,1976,4,Tom Baker,4,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,The Brain of Morbius
Tegana,1964,1964,1,William Hartnell,7,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,Marco Polo
"Vaughn, Tobias",1968,1968,2,Patrick Troughton,8,0.301029996,1,1,Kill the Doctor,Extermination,Kill the Doctor,The Invasion
Drathro (L3 robot),1986,1986,6,Colin Baker,4,0.301029996,1,1,Protect,Preservation,Protect,The Mysterious Planet
Ogri,1978,1978,4,Tom Baker,4,0.301029996,1,1,Protect,Preservation,Protect,The Stones of Blood
Winder ,2010,2010,11,Matt Smith,1,0.301029996,1,1,Protect ,Preservation,Protect ,The Beast Below
Dalek prime minister,2012,2012,11,Matt Smith,1,0.301029996,1,1,Protecting the Daleks,Preservation,Protect ,Asylum of the Daleks
Black Guardian (the),1978,1979,"4,5","Tom Baker, Peter Davison",18,0.77815125,5,2,Wants evil,Preservation,Religion,"The Key to Time, Terminus, Mawdryn Undead, Enlightenment, Armageddon factor"
"Calvierri, Signora Rosanna",2010,2010,11,Matt Smith,1,0.301029996,1,1,reproduce,Preservation,Reproduce,The Vampires of Venice
"Cofelia, Matron (Miss Foster)",2008,2008,10,David Tennant,1,0.301029996,1,1,reproducing,Preservation,Reproduce,Partners in Crime
Omega,1972,1983,"1,2,3,5","William Hartnell, Patrick Troughton, Jon Pertwee, Peter Davison",8,0.477121255,2,12,Revenge,Preservation,Revenge,"The Three Doctors, Arc of Infinity"
Aydan,1964,1964,1,William Hartnell,6,0.301029996,1,1,Save alien planet,Preservation,Save alien planet,The Keys of Marinus
Morpho,1964,1964,1,William Hartnell,6,0.301029996,1,1,Save alien planet,Preservation,Save alien planet,The Keys of Marinus
Screaming Jungle (The),1964,1964,1,William Hartnell,6,0.301029996,1,1,Save alien planet,Preservation,Save alien planet,The Keys of Marinus
Vasor,1964,1964,1,William Hartnell,6,0.301029996,1,1,Save alien planet,Preservation,Save alien planet,The Keys of Marinus
Kala,1964,1964,1,William Hartnell,6,0.301029996,1,1,Save alien planet ,Preservation,Save alien planet ,The Keys of Marinus
Chameleons,1967,1967,2,Patrick Troughton,6,0.301029996,1,1,"New home world, absorbing human identities",Preservation,Survival,The Faceless Ones
Prisoner Zero,2010,2010,11,Matt Smith,1,0.301029996,1,1,Fugative,Preservation,Survival,The Eleventh Hour
Clockwork Repair Droids,2006,2006,10,David Tennant,1,0.301029996,1,1,"Take brain, repair ship",Preservation,Survival,The Girl in the Fireplace
Maaga,1965,1965,1,William Hartnell ,4,0.301029996,1,1,escape doomed planet,Preservation,Survival,Galaxy 4
Forest Monster,2013,2013,11,Matt Smith,1,0.301029996,1,1,Find mate,Preservation,Survival,Hide
Scorby ,1976,1976,4,Tom Baker,6,0.301029996,1,1,Flee England,Preservation,Survival,The seeds of Doom
Alliance of Shades (Mister Dread),2009,2009,10,David Tennant,9,0.301029996,1,1,Hide alien activities,Preservation,Survival,Dreamland
Rago Navigator,1968,1968,2,Patrick Troughton,5,0.301029996,1,1,Conserve energy,Preservation,Survival,The Dominators
"Nimon, The",1979,1980,4,Tom Baker,4,0.301029996,1,2,Continue the Great Journey of life,Preservation,Survival,The Horns of Nimon
Midnight Entity,2008,2008,10,David Tennant,1,0.301029996,1,1,Survival,Preservation,Survival,Midnight
Mrs Gillyflower,2013,2013,11,Matt Smith,1,0.301029996,1,1,Divine justice,Preservation,Religion,The Crimson Horror
Tlotoxl,1964,1964,1,William Hartnell,4,0.301029996,1,1,Religion,Preservation,Religion,The Aztecs
Rani (the),1985,1993,"3,4,5,6,7","Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy",8,0.602059991,3,9,"Enslavement, Medical experimentation",Science,Science,"The Mark of the Rani, Dimensions in Time, Time and the Rani"
Catkind (Sisters of Plenitude),2006,2006,10,David Tennant,1,0.301029996,1,1,Experiments on humans,Science,Science,New Earth
Quillam,1985,1985,6,Colin Baker ,2,0.301029996,1,1,Experiments on humans,Science,Science,Vengeance on Varos
Grayle,2012,2012,11,Matt Smith,1,0.301029996,1,1,Collect Weeping Angels,Science,Science,The Angels Take Manhattan
Vespiforms,2008,2008,10,David Tennant,1,0.301029996,1,1,"Research, not in control of powers",Science,Science,The Unicorn and the Wasp
"Casp, Matron",2006,2007,10,David Tennant,2,0.477121255,2,2,Medical experiments,Science,Science,New Earth/Gridlock
Corvin,2006,2006,10,David Tennant,1,0.301029996,1,1,Medical experiments,Science,Science,New Earth
"Dastari, Joinson",1985,1985,"2,6","Patrick Troughton, Colin Baker",3,0.301029996,1,1,Medical experiments,Science,Science,The Two Doctors
"Solon, Dr Mehendri",1976,1976,4,Tom Baker,4,0.301029996,1,1,Medical experiments,Science,Science,The Brain of Morbius
"Styggron, Chief scientist",1975,1975,4,Tom Baker,4,0.301029996,1,1,Medical experiments,Science,Science,The Android Invasion
"Peinforte, Lady",1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Wanted ownership of a weapon,Science,Science,Silver Nemesis
Chessene of the Franzine Grig,1985,1985,"2,6","Patrick Troughton, Peter Davison",3,0.301029996,1,1,Get a time machine,Scientific,Meddle with time,The Two Doctors
Meddling Monk (the),1965,1966,1,William Hartnell,8,0.477121255,2,2,Interfere with history,Scientific,Meddle with time,"The Time Meddler, The Daleks' Master Plan"
Stike,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,0.301029996,1,1,Make time machine,Scientific,Meddle with time,The Two Doctors
Fortune Teller,2008,2008,10,David Tennant ,1,0.301029996,1,1,Manipulating the past,Scientific,Meddle with time,Turn Left
Mortimus ,1965,1966,1,William Hartnell ,16,0.477121255,2,2,Meddle with time,Scientific,Meddle with time,"The Time Meddler, The Daleks' Master Plan"
Varl,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,0.301029996,1,1,Possess time travel,Scientific,Meddle with time,The Two Doctors
Varla,1967,1967,2,Patrick Troughton,3,0.301029996,1,1,Possess time travel,Scientific,Meddle with time,The Two Doctors
Whitaker,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Possess time travel,Scientific,Meddle with time,Invasion of the Dinosaurs
Reapers,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Sterilise time disturbances,Scientific,Meddle with time, Father's Day
Vardan,1978,1978,4,Tom Baker,6,0.301029996,1,1,Time travelling,Scientific,Meddle with time,The Invasion of Time
Time Beetle,2008,2008,10,David Tennant,1,0.301029996,1,1,"Meddle with time, creating parallel universes",Scientific,Meddle with time,Turn Left
"van Statten, Henry",2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Corruption,Self Interest,Crime,Dalek
Dymond,1979,1979,4,Tom Baker,4,0.301029996,1,1,Crime,Self Interest,Crime,Nightmare of Eden
Reegan,1970,1970,7,Jon Pertwee,7,0.301029996,1,1,Crime,Self Interest,Crime,The Ambassadors of Death
Irongron,1973,1974,3,Jon Pertwee,4,0.301029996,1,2,"Crime, serve big bad",Self Interest,Crime, The Time Warrior
"Gurney, Constantine Ethelred",2007,2007,10,David Tennant,13,0.301029996,1,1,"Larceny, blackmail and fraud",Self Interest,Crime,The Infinite Quest 
Trask (The Highlanders),1966,1967,2,Patrick Troughton,4,0.301029996,1,2,Smuggle weapons,Self Interest,Crime,The Highlanders
Kaliko (swabb),2007,2007,10,David Tennant,2,0.301029996,1,1,"Steal oil, make money",Self Interest,Crime,The Infinite Quest 
Scaroth,1979,1979,4,Tom Baker,4,0.301029996,1,1,Steal the Mona Lisa to finance experiments,Self Interest,Crime,City of Death
Unicorn (the),2008,2008,10,David Tennant,1,0.301029996,1,1,steal jewels,Self Interest,Crime,The Unicorn and the Wasp
Shockeye of the Quawncing Grig ,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,0.301029996,1,1,Eat human flesh,Self Interest,Food,The Two Doctors
Anti-matter monster,1975,1975,4,Tom Baker,4,0.301029996,1,1,Energy,Self Interest,Food,Planet of Evil
Grandfather (Akhaten),2013,2013,11,Matt Smith,1,0.301029996,1,1,Feed off memories and feelings,Self Interest,Food,The Rings of Akhaten
"Minotaur, The",2011,2011,11,Matt Smith,1,0.301029996,1,1,Feed on beliefs,Self Interest,Food,The God complex
"Mara (the), (Dukkha)",1982,1983,5,Peter Davison,8,0.477121255,2,2,Feeds off fear,Self Interest,Food,"Kinda, Snakedance"
Zarbi,1965,1965,1,William Hartnell,6,0.301029996,1,1,"Forage, possessed",Self Interest,Food,The Web Planet
Krafayis,2010,2010,11,Matt Smith,1,0.301029996,1,1,Hunt  ,Self Interest,Food,Vincent and the Doctor
Stingray,2009,2009,10,David Tennant,1,0.301029996,1,1,Self interest (food),Self Interest,Food,Planet of the Dead
Skorpius Flies,2009,2009,10,David Tennant,7,0.301029996,1,1,Self interest (food),Self Interest,Food,Dreamland
"Naismith, Joshua",2009,2010,"10,11","David Tennant, Matt Smith",2,0.301029996,1,2,Immortality,Self Interest,Immortality,The End of Time
Borusa,1976,1983,"1, 2, 3, 4, 5","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",15,0.698970004,4,8,Wants immortality,Self Interest,Immortality,"The Deadly Assassin, The Invasion of Time, Arc of Infinity, The Five Doctors"
"Lumic, John",2006,2006,10,David Tennant,2,0.301029996,1,1,"Immortality, medical experiments, kill humans",Self Interest,Immortality,Rise of the Cybermen/The Age of Steel
"Greel, Magnus",1977,1977,4,Tom Baker,6,0.301029996,1,1,Immortality/return to his time,Self Interest,Immortality,The Talons of Weng-Chiang
Oil Rig,2007,2007,10,David Tennant,13,0.301029996,1,1,"Drain oil from planets, make money",Self Interest,Make money,The Infinite Quest 
"Pike, Samuel ",1966,1966,1,William Hartnell,4,0.301029996,1,1,Find Treasure,Self Interest,Make money,The Smugglers
Baltazar,2007,2007,10,David Tennant,13,0.301029996,1,1,Kill life on earth/make money,Self Interest,Make money,The Infinite Quest 
"Cassandra, Lady",2005,2006,"9,10","Christopher Eccleston, David Tennant",2,0.477121255,2,2,Make money,Self Interest,Make money,The End of the World/New Earth
"Kiv, Lord",1986,1986,6,Colin Baker,4,0.301029996,1,1,Make money,Self Interest,Make money,Mindwarp
Stotz,1984,1984,"1,5,6","William Hartnell, Peter Davison, Colin Baker",4,0.301029996,1,1,Make money,Self Interest,Make money,The Caves of Androzani
"Morgus, Trau",1984,1984,"5,6","Peter Davison, Colin Baker",4,0.301029996,1,1,Make money,Self Interest,Make money,The Caves of Androzani
Tryst,1979,1979,4,Tom Baker,4,0.301029996,1,1,Make money,Self Interest,Make money,Nightmare of Eden
Captain (the),1978,1978,4,Tom Baker,4,0.301029996,1,1,Make money,Self Interest,Make money,The Pirate Planet
"Vynda-K, Graff",1978,1978,4,Tom Baker,4,0.301029996,1,1,Make money,Self Interest,Make money,The Ribos Operation
"Xanxia, Queen",1978,1978,4,Tom Baker,4,0.301029996,1,1,Make money,Self Interest,Make money,The Pirate Planet
Dent,1971,1971,3,Jon Pertwee,6,0.301029996,1,1,Make money,Self Interest,Make money,Colony in Space
Ulysees Meregrass,2007,2007,10,David Tennant ,13,0.301029996,1,1,Make money,Self Interest,Make money,The Infinite Quest
"Capricorn, Max",2007,2007,10,David Tennant,1,0.301029996,1,1,Bankrupt company,Self Interest,Make money,Voyage of the Damned
"Winters, Miss",1974,1975,4,Tom Baker,4,0.301029996,1,2,Blackmail,Self Interest,Make money,Robot
Caw ,2007,2007,10,David Tennant,13,0.301029996,1,1,Gold,Self Interest,Make money,The Infinite Quest 
Forester,1964,1964,1,William Hartnell,3,0.301029996,1,1,Money,Self Interest,Make money,Planet of Giants
Rodrick,2005,2005,"9,10","Christopher Eccleston, David Tennant",2,0.477121255,2,1,money (prize money),Self Interest,Make money,"Bad Wolf, Parting of the Ways"
Soloman,2012,2012,11,Matt Smith,1,0.301029996,1,1,Profit,Self Interest,Make money,Dinosaurs on a Spaceship
"Adrasta, Lady",1979,1979,4,Tom Baker,4,0.301029996,1,1,Mineral wealth,Self Interest,Make money,The Creature from the Pit
MacMillan (DI),2009,2009,10,David Tennant,1,0.301029996,1,1,Career,Self interest,Self interest,Planet of the Dead
Magpie (Mr),2006,2006,10,David Tennant ,1,0.301029996,1,1,Career,Self interest,Self interest,The Idiot's Lantern
Marshal of Solos (the) ,1972,1972,3,Jon Pertwee,6,0.301029996,1,1,Career,Self interest,Self interest,The Mutants
Wrack,1983,1983,5,Peter Davison,4,0.301029996,1,1,Compete for enlightenment,Self interest,Self interest,Enlightenment
Mansell,1983,1983,5,Peter Davison,4,0.301029996,1,1,Competing for enlightment,Self interest,Self interest,Enlightenment
Krillitane,2008,2008,10,David Tennant,1,0.301029996,1,1,Self interest,Self interest,Self interest,School Reunion
Isolus flowers (Scribble Monster),2006,2006,10,David Tennant,1,0.301029996,1,1,Self interest,Self interest,Self interest,Fear Her
"Sneed, Gabriel",2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Self interest,Self interest,Self interest,The Unquiet Dead
Toclafane,2007,2007,10,David Tennant,2,0.301029996,1,1,Self interest,Self interest,Self interest,The Sound of the Drums/Last of the Time Lords
Elders (the),1966,1966,1,William Hartnell,4,0.301029996,1,1,Self interest,Self interest,Self interest,The Savages
Aridians,1965,1965,1,William Hartnell,6,0.301029996,1,1,Self interest,Self interest,Self interest,The Chase
Skeleton Crew ,2007,2007,10,David Tennant,13,0.301029996,1,1,Self interest,Self interest,Self interest,The Infinite Quest 
"Glitz, Sabalom",1986,1987,"6,7","Colin Baker, Sylvester McCoy",9,0.602059991,3,2,Self-interest,Self interest,Self interest,"The Mysterious Planet, The Ultimate Foe, Dragonfire"
"Grendel, Count",1978,1978,4,Tom Baker,4,0.301029996,1,1,To posess a key,Self interest,Self interest,The Androids of Tara
Dibber,1986,1986,6,Colin Baker,4,0.301029996,1,1,Self-interest,Self-interest,Self-interest,The Mysterious Planet
Eyesen,1964,1964,1,William Hartnell,6,0.301029996,1,1,Self-interest,Self-interest,Self-interest,The Keys of Marinus
Dexter,2007,2007,10,David Tennant,2,0.477121255,2,1,Locate the Doctor and his companions,Serve big bad,Serve big bad,"42, The Sound of Drums"
"Ratcliffe, George",1988,1988,7,Sylvester McCoy,4,0.301029996,1,1,Ally with the Nazis,Serve big bad,Serve big bad,Rememberance of the Daleks
Bok,1971,1971,3,Jon Pertwee,5,0.301029996,1,1,Assist Azal,Serve big bad,Serve big bad,The Dí_mons
"Hartman, Yvonne",2006,2006,10,David Tennant,2,0.301029996,1,1,Assist Cybermen,Serve big bad,Serve big bad,Army of Ghosts/Doomsday
De Flores,1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Fascist stooge,Serve big bad,Serve big bad,Silver Nemesis
"Neo-Nazis, Windsor",1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Fascist stooge,Serve big bad,Serve big bad,Silver Nemesis
Association (the),1988,1988,7,Sylvester McCoy,4,0.301029996,1,1,Fascist stooge,Serve big bad,Serve big bad,Rememberance of the Daleks
"Elizabeth Shaw, Section Leader (alt universe",1970,1970,3,Jon Pertwee,7,0.301029996,1,1,Fascist stooge,Serve big bad,Serve big bad,Inferno
"Lethbridge-Stewart, Brigade Leader (alt universe)",1970,1970,3,Jon Pertwee,7,0.301029996,1,1,Fascist stooge,Serve big bad,Serve big bad,Inferno
"Ood, the (Oodkind)",2006,2010,"10,11","David Tennant, Matt Smith",6,0.698970004,4,5,Serve big bad,Serve big bad,Serve big bad,"The Impossible Planet/The Satan Pit, Planet of the Ood, The Waters of Mars, Human Nature"
Cybermat,1967,2011,"2,4,11","Patrick Troughton, Tom Baker, Matt Smith",15,0.698970004,4,45,Serve big bad,Serve big bad,Serve big bad,"Tomb of the Cybermen, Wheel in space, Revenge of the Cybermen, Closing Time"
Yeti,1967,1983,"1,2,3,4,5","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",13,0.602059991,3,17,Serve big bad,Serve big bad,Serve big bad,"The Abominable Snowmen, The Web of Fear, The Five Doctors"
"Saxon, Lucy",2007,2010,10,David Tennant,4,0.477121255,2,4,Serve big bad,Serve big bad,Serve big bad,"The End of time, The Sound of Drums/Last of the Time Lords"
"Lytton, Commander Gustav",1983,1985,"5,6","Peter Davison, Colin Baker",4,0.477121255,2,3,Serve big bad,Serve big bad,Serve big bad,"Resurrection of the Daleks, Attack of the Cybermen"
Kamelion,1983,1984,5,Peter Davison,6,0.477121255,2,2,Serve big bad,Serve big bad,Serve big bad,"The King's Demons, Planet of Fire"
Ogrons ,1972,1973,3,Jon Pertwee,10,0.477121255,2,2,Serve big bad,Serve big bad,Serve big bad,"Day of the Daleks, Frontier in Space"
"Mummy, The",2013,2013,11,Matt Smith,1,0.301029996,1,1,Serve Big Bad,Serve big bad,Serve big bad,The Rings of Akhaten
Spoonheads,2013,2013,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Bells of Saint John
"Vigil, The",2013,2013,11,Matt Smith,1,0.301029996,1,1,Serve Big Bad,Serve big bad,Serve big bad,The Rings of Ahkaten 
"Dala, Dalek ""puppet""",2012,2012,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Asylum of the Daleks
"Simeon, Dr",2012,2012,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Snowmen
"Snowmen, The",2012,2012,11,Matt Smith,1,0.301029996,1,1,Serve Big Bad,Serve big bad,Serve big bad,The Snowmen
Soloman's robots,2012,2012,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Dinosaurs on a Spaceship
Gantok,2011,2011,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Wedding of River Song
Headless Monks,2011,2011,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,A Good Man Goes to War
"Pond, Melody (before redemption)",2011,2011,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Let's Kill Hitler
Teselecta,2011,2011,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Let's Kill Hitler
Teselecta antibodies,2011,2011,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Let's Kill Hitler
Carlo ,2010,2010,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Vampires of Venice
Francesco,2010,2010,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Vampires of Venice
Poggit (Mrs),2010,2010,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Amy's Choice
Smilers (Winders),2010,2010,11,Matt Smith,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Beast Below
Cybershades,2008,2008,10,David Tennant,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad, The Next Doctor
Bloodtide,2007,2007,10,David Tennant,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Shakespeare Code
Heavenly Host ,2007,2007,10,David Tennant,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Voyage of the Damned
Slab,2007,2007,10,David Tennant,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Smith and Jones
"Brethren (the), inc Father Angelo",2006,2006,10,David Tennant,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Tooth and Claw
Adherents of the Repeated Meme,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The End of the World
Automated Corpse,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Long Game
"McAllister, Ewan",2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,World War Three 
Metal Spiders,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The End of the World
Surgeons,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The End of the World
Trin-E,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Bad Wolf
Zu-Zana,2005,2005,9,Christopher Eccleston,1,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Bad Wolf
Martha Jones- Clone,2008,2008,10,David Tennant,2,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Sontaran Stratagem/The Poison Sky
Karfelon androids,1985,1985,6,Colin Baker,2,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Timelash
Tekker,1985,1985,6,Colin Baker,2,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Timelash
Dalek Duplicates,1984,1984,5,Peter Davison,2,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Ressurrection of the Daleks
Cheetah people,1989,1989,7,Sylvester McCoy,3,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Survival
Happiness Patrol (the),1988,1988,7,Sylvester McCoy,3,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Happiness Patrol
Chief Clown,1988,1989,7,Sylvester McCoy,4,0.301029996,1,2,Serve big bad,Serve big bad,Serve big bad,The Greatest Show in the Galaxy
Clown robots,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Greatest Show in the Galaxy
Haemovores (inc Ancient One),1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Curse of Fenric
"Millington, Commander AH",1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Curse of Fenric
Robotic cleaners,1987,1987,7,Sylvester McCoy,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Paradise Towers
Robotic crab,1987,1987,7,Sylvester McCoy,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Paradise Towers
Rudge,1986,1986,6,Colin Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Terror of the Vervoids
Myrka (the),1984,1984,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Warriors of the Deep
Nilson,1984,1984,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Warriors of the Deep
"Solow, Dr",1984,1984,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Warriors of the Deep
Gastropods,1984,1984,6,Colin Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad, The Twin Dilemma
Jek's androids,1984,1984,"5,6","Peter Davison, Colin Baker",4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Caves of Androzani
